"Year","Month","Days Since Sept 3rd 2000","#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
2000,December,99,208,PSINet Stadium,outdoors,grass,2,2,39,62,2,0
2000,December,99,209,Cleveland Browns Stadium,outdoors,grass,1,1,33,0,6,19
2000,December,99,210,Giants Stadium,outdoors,grass,4,6,37,67,7,30
2000,December,99,211,Adelphia Coliseum,outdoors,grass,1,1,52,80,7,0
2000,December,99,212,Mile High Stadium,outdoors,grass,2,2,22,91,10,6
2000,December,99,213,Texas Stadium,outdoors,astroturf,4,5,66,72,0,0
2000,December,99,215,3Com Park,outdoors,grass,3,3,55,80,13,0
2000,December,99,216,Network Associates Coliseum,outdoors,grass,1,1,54,74,9,0
2000,December,105,218,Three Rivers Stadium,outdoors,astroturf,2,2,44,79,0,0
2000,December,105,219,Husky Stadium,outdoors,fieldturf,3,4,52,63,21,0
2000,December,106,220,Arrowhead Stadium,outdoors,grass,2,3,9,61,6,-1
2000,December,106,222,Ralph Wilson Stadium,outdoors,astroturf,3,6,35,85,25,6
2000,December,106,223,Paul Brown Stadium,outdoors,grass,1,2,9,72,20,-20
2000,December,106,224,Giants Stadium,outdoors,grass,1,3,63,100,20,0
2000,December,106,225,Cleveland Browns Stadium,outdoors,grass,1,1,20,0,35,-10
2000,December,106,227,Ericsson Stadium,outdoors,grass,1,2,36,67,15,12
2000,December,106,228,3Com Park,outdoors,grass,1,2,58,68,6,0
2000,December,106,229,Sun Devil Stadium,outdoors,grass,2,3,68,16,3,0
2000,December,106,230,Pro Player Stadium,outdoors,grass,4,4,81,64,0,0
2000,December,106,231,Texas Stadium,outdoors,astroturf,3,5,41,48,5,0
2000,December,107,232,Raymond James Stadium,outdoors,grass,1,1,49,71,5,0
2000,December,112,233,Giants Stadium,outdoors,grass,1,2,23,43,12,5
2000,December,112,235,Husky Stadium,outdoors,fieldturf,1,2,41,100,3,0
2000,December,113,236,FedExField,outdoors,grass,3,4,34,55,7,0
