"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
3648,Paul Brown Stadium,outdoors,fieldturf,0,1,25,85,7,17
3649,Lambeau Field,outdoors,grass,3,4,9,80,6,-1
3650,Gillette Stadium,outdoors,fieldturf,4,5,30,46,5,25
3651,MetLife Stadium,outdoors,fieldturf,5,6,33,51,6,27
3652,Lincoln Financial Field,outdoors,grass,0,0,27,56,6,20
3653,Heinz Field,outdoors,grass,2,3,25,73,9,16
3654,Raymond James Stadium,outdoors,grass,4,4,82,62,13,N/A
3655,M&T Bank Stadium,outdoors,sportturf,2,2,33,67,7,28
3656,FedExField,outdoors,grass,2,3,30,79,10,21
3657,Sports Authority Field at Mile High,outdoors,grass,3,3,18,63,5,11
3658,University of Phoenix Stadium,retractable roof (closed),grass,1,3,N/A,N/A,N/A,N/A
3659,Qualcomm Stadium,outdoors,grass,3,3,53,53,8,0
3660,Candlestick Park,outdoors,grass,5,5,43,49,5,0
3661,Mercedes-Benz Superdome,dome,sportturf,3,4,N/A,N/A,N/A,N/A
3662,Soldier Field,outdoors,grass,3,3,8,63,14,-9
3663,Sports Authority Field at Mile High,outdoors,grass,4,4,37,50,2,0
3664,Lucas Oil Stadium,retractable roof (closed),fieldturf,4,4,N/A,N/A,N/A,N/A
3665,EverBank Field,outdoors,grass,4,5,60,0,20,0
3666,Sun Life Stadium,outdoors,grass,3,4,84,70,14,0
3667,Mall of America Field,dome,sportturf,5,6,N/A,N/A,N/A,N/A
3668,Raymond James Stadium,outdoors,grass,4,4,70,64,7,N/A
3669,Georgia Dome,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3670,FirstEnergy Stadium,outdoors,grass,2,2,25,82,12,14
3671,MetLife Stadium,outdoors,fieldturf,3,3,36,88,7,30
3672,Bank of America Stadium,outdoors,grass,5,5,54,47,11,0
3673,O.co Coliseum,outdoors,grass,1,1,64,39,6,0
3674,AT&T Stadium,retractable roof (closed),matrixturf,6,6,N/A,N/A,N/A,N/A
3675,Edward Jones Dome,dome,astroplay,3,5,N/A,N/A,N/A,N/A
3676,LP Field,outdoors,grass,5,6,37,64,4,N/A
3677,Heinz Field,outdoors,grass,3,3,26,66,20,12
3678,Ford Field,dome,fieldturf,7,7,N/A,N/A,N/A,N/A
3679,Edward Jones Dome,dome,astroplay,5,5,N/A,N/A,N/A,N/A
3680,Ralph Wilson Stadium,outdoors,a_turf,4,4,41,79,8,N/A
3681,Paul Brown Stadium,outdoors,fieldturf,0,0,53,80,11,0
3682,Reliant Stadium,retractable roof (closed),grass,5,5,N/A,N/A,N/A,N/A
3683,EverBank Field,outdoors,grass,3,3,79,0,13,0
3684,Arrowhead Stadium,outdoors,grass,3,5,22,84,10,11
3685,MetLife Stadium,outdoors,fieldturf,3,4,70,65,12,0
3686,FedExField,outdoors,grass,4,4,65,92,5,0
3687,Bank of America Stadium,outdoors,grass,3,3,72,84,18,0
3688,Ford Field,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3689,CenturyLink Field,outdoors,fieldturf,4,5,48,94,6,N/A
3690,Lambeau Field,outdoors,grass,2,2,23,78,13,11
3691,M&T Bank Stadium,outdoors,sportturf,2,3,65,75,8,0
3692,Qualcomm Stadium,outdoors,grass,6,6,67,45,7,0
3693,Lincoln Financial Field,outdoors,grass,2,2,62,82,11,0
3694,Candlestick Park,outdoors,grass,3,3,60,49,0,0
3695,Paul Brown Stadium,outdoors,fieldturf,5,5,43,93,3,N/A
3696,Lucas Oil Stadium,retractable roof (closed),fieldturf,4,4,N/A,N/A,N/A,N/A
3697,Sun Life Stadium,outdoors,grass,2,3,79,84,12,0
3698,LP Field,outdoors,grass,4,4,53,61,4,N/A
3699,Heinz Field,outdoors,grass,2,2,40,93,5,N/A
3700,MetLife Stadium,outdoors,fieldturf,4,5,40,100,2,0
3701,Georgia Dome,dome,fieldturf,2,2,N/A,N/A,N/A,N/A
3702,Mall of America Field,dome,sportturf,2,2,N/A,N/A,N/A,N/A
3703,Soldier Field,outdoors,grass,2,2,26,88,16,14
3704,University of Phoenix Stadium,retractable roof (closed),grass,5,8,N/A,N/A,N/A,N/A
3705,Mercedes-Benz Superdome,dome,sportturf,1,1,N/A,N/A,N/A,N/A
3706,Gillette Stadium,outdoors,fieldturf,6,6,39,100,8,N/A
3707,O.co Coliseum,outdoors,grass,2,3,70,16,8,0
3708,Qualcomm Stadium,outdoors,grass,3,4,73,14,1,0
