"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
3207,Sun Life Stadium,outdoors,grass,2,2,80,75,8,0
3208,Gillette Stadium,outdoors,fieldturf,6,7,64,55,2,0
3209,Bank of America Stadium,outdoors,grass,2,2,71,85,4,0
3210,Lucas Oil Stadium,retractable roof (open),fieldturf,5,5,N/A,N/A,N/A,N/A
3211,EverBank Field,outdoors,grass,2,2,83,66,5,0
3212,MetLife Stadium,outdoors,fieldturf,6,6,73,39,1,0
3213,Lincoln Financial Field,outdoors,grass,4,4,72,40,5,0
3214,Edward Jones Dome,dome,astroplay,3,4,N/A,N/A,N/A,N/A
3215,CenturyLink Field,outdoors,fieldturf,2,2,68,56,4,0
3216,Heinz Field,outdoors,grass,3,3,71,36,2,N/A
3217,Qualcomm Stadium,outdoors,grass,2,2,85,37,8,0
3218,Candlestick Park,outdoors,grass,6,7,62,62,15,0
3219,Georgia Dome,dome,fieldturf,2,2,N/A,N/A,N/A,N/A
3220,Bank of America Stadium,outdoors,grass,5,5,75,56,3,0
3221,Cleveland Browns Stadium,outdoors,grass,1,1,53,79,9,0
3222,Mercedes-Benz Superdome,dome,sportturf,7,8,N/A,N/A,N/A,N/A
3223,Lucas Oil Stadium,retractable roof (open),fieldturf,4,5,N/A,N/A,N/A,N/A
3224,Sun Life Stadium,outdoors,grass,5,7,83,76,4,0
3225,LP Field,outdoors,grass,7,9,68,32,5,N/A
3226,FedExField,outdoors,grass,2,2,65,40,6,0
3227,Soldier Field,outdoors,grass,5,5,56,42,10,0
3228,Cowboys Stadium,retractable roof (closed),matrixturf,4,4,N/A,N/A,N/A,N/A
3229,Mall of America Field,dome,sportturf,3,4,N/A,N/A,N/A,N/A
3230,University of Phoenix Stadium,retractable roof (closed),grass,4,4,N/A,N/A,N/A,N/A
3231,Qualcomm Stadium,outdoors,grass,1,1,82,52,13,0
3232,Sports Authority Field at Mile High,outdoors,grass,4,4,84,10,13,0
3233,O.co Coliseum,outdoors,grass,3,3,69,53,10,0
3234,M&T Bank Stadium,outdoors,sportturf,4,4,67,39,5,0
3235,CenturyLink Field,outdoors,fieldturf,2,2,67,49,3,0
3236,M&T Bank Stadium,outdoors,sportturf,4,5,77,64,5,0
3237,Edward Jones Dome,dome,astroplay,6,6,N/A,N/A,N/A,N/A
3238,Ralph Wilson Stadium,outdoors,a_turf,1,3,58,72,7,0
3239,Georgia Dome,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
3240,Ford Field,dome,fieldturf,4,5,N/A,N/A,N/A,N/A
3241,Reliant Stadium,retractable roof (closed),grass,1,1,N/A,N/A,N/A,N/A
3242,Arrowhead Stadium,outdoors,grass,3,3,67,54,0,0
3243,MetLife Stadium,outdoors,fieldturf,2,4,67,50,4,0
3244,University of Phoenix Stadium,retractable roof (closed),grass,3,4,N/A,N/A,N/A,N/A
3245,Sports Authority Field at Mile High,outdoors,grass,5,5,72,26,6,0
3246,EverBank Field,outdoors,grass,3,3,86,62,7,0
3247,Lambeau Field,outdoors,grass,2,3,64,58,7,0
3248,Raymond James Stadium,outdoors,grass,4,7,89,52,11,N/A
3249,Lincoln Financial Field,outdoors,grass,5,6,63,59,6,0
3250,Cowboys Stadium,retractable roof (closed),matrixturf,3,3,N/A,N/A,N/A,N/A
3251,Edward Jones Dome,dome,astroplay,2,3,N/A,N/A,N/A,N/A
3252,Arrowhead Stadium,outdoors,grass,5,5,47,45,0,0
3253,MetLife Stadium,outdoors,fieldturf,4,4,51,84,2,0
3254,Heinz Field,outdoors,grass,3,3,48,68,4,N/A
3255,Paul Brown Stadium,outdoors,fieldturf,3,5,49,55,6,N/A
3256,Lucas Oil Stadium,retractable roof (closed),fieldturf,3,6,N/A,N/A,N/A,N/A
3257,FedExField,outdoors,grass,2,3,52,77,3,N/A
3258,Bank of America Stadium,outdoors,grass,4,4,63,69,6,0
3259,EverBank Field,outdoors,grass,3,3,88,53,3,0
3260,Mall of America Field,dome,sportturf,3,3,N/A,N/A,N/A,N/A
3261,Gillette Stadium,outdoors,fieldturf,1,1,54,65,4,0
3262,Candlestick Park,outdoors,grass,2,2,62,70,8,0
3263,Mercedes-Benz Superdome,dome,sportturf,2,3,N/A,N/A,N/A,N/A
3264,MetLife Stadium,outdoors,fieldturf,4,4,52,69,4,0
3265,LP Field,outdoors,grass,7,8,64,52,2,N/A
3266,Sun Life Stadium,outdoors,grass,3,6,84,72,20,0
3267,Raymond James Stadium,outdoors,grass,2,3,85,55,9,N/A
3268,Georgia Dome,dome,fieldturf,5,6,N/A,N/A,N/A,N/A
3269,Cleveland Browns Stadium,outdoors,grass,3,3,70,65,19,0
3270,MetLife Stadium,outdoors,fieldturf,3,3,65,55,14,0
3271,M&T Bank Stadium,outdoors,sportturf,4,5,69,45,11,0
3272,Lincoln Financial Field,outdoors,grass,7,7,66,58,15,0
3273,CenturyLink Field,outdoors,fieldturf,4,4,63,80,9,0
3274,University of Phoenix Stadium,retractable roof (closed),grass,4,5,N/A,N/A,N/A,N/A
3275,Candlestick Park,outdoors,grass,5,8,61,80,7,0
3276,FedExField,outdoors,grass,5,5,74,40,14,0
3277,Reliant Stadium,retractable roof (closed),grass,1,1,N/A,N/A,N/A,N/A
3278,Qualcomm Stadium,outdoors,grass,1,1,78,50,7,0
3279,Candlestick Park,outdoors,grass,4,5,80,30,15,0
3280,Edward Jones Dome,dome,astroplay,5,6,N/A,N/A,N/A,N/A
3281,Ralph Wilson Stadium,outdoors,a_turf,2,2,55,75,15,0
3282,Lucas Oil Stadium,retractable roof (open),fieldturf,1,1,N/A,N/A,N/A,N/A
3283,Reliant Stadium,retractable roof (closed),grass,4,4,N/A,N/A,N/A,N/A
3284,Raymond James Stadium,outdoors,grass,0,1,77,36,8,N/A
3285,Bank of America Stadium,outdoors,grass,4,4,62,43,8,0
3286,MetLife Stadium,outdoors,fieldturf,5,5,61,44,11,0
3287,Mall of America Field,dome,sportturf,0,1,N/A,N/A,N/A,N/A
3288,Gillette Stadium,outdoors,fieldturf,6,6,62,39,13,0
3289,O.co Coliseum,outdoors,grass,7,8,62,49,11,0
3290,Paul Brown Stadium,outdoors,fieldturf,4,4,55,76,1,0
3291,Soldier Field,outdoors,grass,2,3,63,89,8,0
3292,Mall of America Field,dome,sportturf,4,4,N/A,N/A,N/A,N/A
3293,Heinz Field,outdoors,grass,4,4,45,88,10,N/A
3294,Soldier Field,outdoors,grass,6,7,49,51,18,N/A
3295,Ford Field,dome,fieldturf,1,2,N/A,N/A,N/A,N/A
3296,Lincoln Financial Field,outdoors,grass,4,4,58,75,16,0
3297,Lambeau Field,outdoors,grass,4,5,44,47,10,N/A
3298,Cleveland Browns Stadium,outdoors,grass,2,2,44,89,19,N/A
3299,MetLife Stadium,outdoors,fieldturf,4,5,60,62,9,0
3300,LP Field,outdoors,grass,4,6,52,49,18,N/A
3301,Wembley Stadium,outdoors,astroplay,1,1,49,84,9,N/A
3302,Arrowhead Stadium,outdoors,grass,7,7,50,40,3,N/A
3303,Cowboys Stadium,retractable roof (open),matrixturf,6,6,N/A,N/A,N/A,N/A
3304,Sports Authority Field at Mile High,outdoors,grass,2,2,59,30,5,0
3305,University of Phoenix Stadium,retractable roof (closed),grass,2,2,N/A,N/A,N/A,N/A
3306,Qualcomm Stadium,outdoors,grass,3,4,63,74,12,0
3307,Paul Brown Stadium,outdoors,fieldturf,4,5,48,59,1,0
3308,Lucas Oil Stadium,retractable roof (closed),fieldturf,5,7,N/A,N/A,N/A,N/A
3309,Lambeau Field,outdoors,grass,2,3,39,57,7,N/A
3310,Reliant Stadium,retractable roof (closed),grass,3,5,N/A,N/A,N/A,N/A
3311,Cleveland Browns Stadium,outdoors,grass,6,6,39,69,8,N/A
3312,EverBank Field,outdoors,grass,1,2,81,0,10,0
3313,LP Field,outdoors,grass,4,4,50,63,6,N/A
3314,FedExField,outdoors,grass,2,3,50,44,3,N/A
3315,O.co Coliseum,outdoors,grass,1,3,71,55,7,0
3316,CenturyLink Field,outdoors,fieldturf,3,3,60,89,5,0
3317,MetLife Stadium,outdoors,fieldturf,3,4,44,58,5,N/A
3318,Georgia Dome,dome,fieldturf,6,9,N/A,N/A,N/A,N/A
3319,Mercedes-Benz Superdome,dome,sportturf,2,3,N/A,N/A,N/A,N/A
3320,EverBank Field,outdoors,grass,3,4,50,0,0,N/A
3321,Bank of America Stadium,outdoors,grass,2,4,71,38,5,0
3322,Mercedes-Benz Superdome,dome,sportturf,3,3,N/A,N/A,N/A,N/A
3323,Gillette Stadium,outdoors,fieldturf,4,4,60,55,12,0
3324,M&T Bank Stadium,outdoors,sportturf,4,4,61,56,6,0
3325,Paul Brown Stadium,outdoors,fieldturf,3,3,69,30,16,0
3326,Sun Life Stadium,outdoors,grass,4,4,78,52,20,0
3327,Raymond James Stadium,outdoors,grass,3,3,80,51,10,N/A
3328,Mall of America Field,dome,sportturf,5,5,N/A,N/A,N/A,N/A
3329,CenturyLink Field,outdoors,fieldturf,0,0,43,66,2,0
3330,Lincoln Financial Field,outdoors,grass,2,2,63,45,7,0
3331,Candlestick Park,outdoors,grass,2,4,55,59,5,0
3332,Soldier Field,outdoors,grass,4,5,54,90,8,0
3333,Heinz Field,outdoors,grass,5,6,45,84,16,N/A
3334,Ralph Wilson Stadium,outdoors,a_turf,4,5,35,73,5,N/A
3335,Edward Jones Dome,dome,astroplay,2,4,N/A,N/A,N/A,N/A
3336,Ford Field,dome,fieldturf,3,5,N/A,N/A,N/A,N/A
3337,Georgia Dome,dome,fieldturf,7,7,N/A,N/A,N/A,N/A
3338,Reliant Stadium,retractable roof (closed),grass,6,8,N/A,N/A,N/A,N/A
3339,Arrowhead Stadium,outdoors,grass,2,3,59,37,15,0
3340,FedExField,outdoors,grass,3,3,52,55,9,0
3341,Bank of America Stadium,outdoors,grass,2,3,53,15,9,0
3342,Cowboys Stadium,retractable roof (closed),matrixturf,5,5,N/A,N/A,N/A,N/A
3343,O.co Coliseum,outdoors,grass,2,2,61,62,3,0
3344,Sports Authority Field at Mile High,outdoors,grass,3,4,62,22,3,0
3345,Gillette Stadium,outdoors,fieldturf,2,4,42,62,14,N/A
3346,Heinz Field,outdoors,grass,3,4,46,52,5,N/A
3347,Candlestick Park,outdoors,grass,3,3,64,52,12,0
3348,Ford Field,dome,fieldturf,3,5,N/A,N/A,N/A,N/A
3349,Cowboys Stadium,retractable roof (closed),matrixturf,4,4,N/A,N/A,N/A,N/A
3350,MetLife Stadium,outdoors,fieldturf,1,2,46,72,2,0
3351,Soldier Field,outdoors,grass,3,5,41,26,5,N/A
3352,Paul Brown Stadium,outdoors,fieldturf,3,4,41,47,9,N/A
3353,Cleveland Browns Stadium,outdoors,grass,2,2,34,65,10,26
3354,Raymond James Stadium,outdoors,grass,4,7,65,30,7,N/A
3355,Lucas Oil Stadium,retractable roof (closed),fieldturf,4,4,N/A,N/A,N/A,N/A
3356,EverBank Field,outdoors,grass,5,6,60,0,4,0
3357,Arrowhead Stadium,outdoors,grass,4,6,52,38,5,0
3358,Sun Life Stadium,outdoors,grass,1,1,72,51,6,0
3359,Qualcomm Stadium,outdoors,grass,5,5,59,82,1,0
3360,University of Phoenix Stadium,retractable roof (closed),grass,2,3,N/A,N/A,N/A,N/A
3361,Mercedes-Benz Superdome,dome,sportturf,1,3,N/A,N/A,N/A,N/A
3362,MetLife Stadium,outdoors,fieldturf,2,3,34,60,17,23
3363,Lincoln Financial Field,outdoors,grass,4,4,36,42,2,0
3364,Georgia Dome,dome,fieldturf,5,5,N/A,N/A,N/A,N/A
3365,Edward Jones Dome,dome,astroplay,4,6,N/A,N/A,N/A,N/A
3366,Ralph Wilson Stadium,outdoors,a_turf,3,3,52,87,17,0
3367,Lambeau Field,outdoors,grass,3,5,45,79,8,N/A
3368,Sun Life Stadium,outdoors,grass,6,7,77,66,18,0
3369,LP Field,outdoors,grass,2,2,66,60,19,N/A
3370,Soldier Field,outdoors,grass,2,2,61,76,4,0
3371,Ford Field,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3372,Arrowhead Stadium,outdoors,grass,2,2,61,60,0,0
3373,MetLife Stadium,outdoors,fieldturf,2,4,46,89,6,N/A
3374,Sports Authority Field at Mile High,outdoors,grass,4,5,64,16,4,0
3375,O.co Coliseum,outdoors,grass,3,5,61,84,21,0
3376,M&T Bank Stadium,outdoors,sportturf,5,5,57,62,9,0
3377,Qualcomm Stadium,outdoors,grass,4,5,66,65,14,0
3378,Cowboys Stadium,retractable roof (closed),matrixturf,3,3,N/A,N/A,N/A,N/A
3379,FedExField,outdoors,grass,4,5,55,98,1,0
3380,O.co Coliseum,outdoors,grass,4,4,57,73,7,0
3381,Ralph Wilson Stadium,outdoors,a_turf,2,2,37,74,14,28
3382,Cleveland Browns Stadium,outdoors,grass,3,4,44,70,5,N/A
3383,Lucas Oil Stadium,retractable roof (closed),fieldturf,5,6,N/A,N/A,N/A,N/A
3384,EverBank Field,outdoors,grass,2,3,67,0,10,0
3385,Heinz Field,outdoors,grass,3,3,45,80,10,N/A
3386,Paul Brown Stadium,outdoors,fieldturf,6,6,53,96,6,0
3387,Raymond James Stadium,outdoors,grass,1,3,69,92,1,N/A
3388,FedExField,outdoors,grass,3,3,51,95,7,0
3389,Bank of America Stadium,outdoors,grass,3,3,70,50,4,0
3390,Mall of America Field,dome,sportturf,0,0,N/A,N/A,N/A,N/A
3391,Candlestick Park,outdoors,grass,4,4,62,44,3,0
3392,MetLife Stadium,outdoors,fieldturf,3,4,42,88,1,N/A
3393,CenturyLink Field,outdoors,fieldturf,3,3,48,82,8,N/A
3394,Lambeau Field,outdoors,grass,4,6,33,92,10,25
3395,Gillette Stadium,outdoors,fieldturf,0,0,59,91,7,0
3396,Lincoln Financial Field,outdoors,grass,4,4,36,55,1,0
3397,Edward Jones Dome,dome,astroplay,5,6,N/A,N/A,N/A,N/A
3398,Reliant Stadium,retractable roof (closed),grass,6,7,N/A,N/A,N/A,N/A
3399,M&T Bank Stadium,outdoors,sportturf,3,4,53,74,7,0
3400,Georgia Dome,dome,fieldturf,2,3,N/A,N/A,N/A,N/A
3401,Soldier Field,outdoors,grass,2,4,44,79,9,N/A
3402,Cleveland Browns Stadium,outdoors,grass,1,1,59,67,18,N/A
3403,Sun Life Stadium,outdoors,grass,4,4,80,60,13,0
3404,Mercedes-Benz Superdome,dome,sportturf,2,2,N/A,N/A,N/A,N/A
3405,Rogers Centre,dome,a_turf,4,4,N/A,N/A,N/A,N/A
3406,University of Phoenix Stadium,retractable roof (closed),grass,2,2,N/A,N/A,N/A,N/A
3407,Qualcomm Stadium,outdoors,grass,1,1,59,64,6,0
3408,Cowboys Stadium,retractable roof (closed),matrixturf,3,3,N/A,N/A,N/A,N/A
3409,O.co Coliseum,outdoors,grass,5,6,54,77,2,0
3410,Gillette Stadium,outdoors,fieldturf,4,5,34,100,5,29
3411,LP Field,outdoors,grass,1,2,54,83,10,N/A
3412,Ford Field,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3413,Cowboys Stadium,retractable roof (closed),matrixturf,3,4,N/A,N/A,N/A,N/A
3414,Lambeau Field,outdoors,grass,2,2,24,68,9,14
3415,EverBank Field,outdoors,grass,6,7,58,0,0,0
3416,Sun Life Stadium,outdoors,grass,2,3,73,47,8,0
3417,Heinz Field,outdoors,grass,3,6,35,56,10,27
3418,Reliant Stadium,retractable roof (closed),grass,5,5,N/A,N/A,N/A,N/A
3419,Arrowhead Stadium,outdoors,grass,4,5,25,74,6,18
3420,MetLife Stadium,outdoors,fieldturf,3,3,39,54,13,N/A
3421,Lincoln Financial Field,outdoors,grass,4,4,40,52,11,N/A
3422,Raymond James Stadium,outdoors,grass,2,2,59,28,8,N/A
3423,Bank of America Stadium,outdoors,grass,3,4,53,43,3,N/A
3424,Sports Authority Field at Mile High,outdoors,grass,4,4,51,22,15,0
3425,University of Phoenix Stadium,retractable roof (closed),grass,2,3,N/A,N/A,N/A,N/A
3426,M&T Bank Stadium,outdoors,sportturf,4,4,51,33,7,N/A
3427,CenturyLink Field,outdoors,fieldturf,2,3,45,76,3,N/A
3428,Georgia Dome,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3429,Ralph Wilson Stadium,outdoors,a_turf,3,6,28,53,18,15
3430,Lucas Oil Stadium,retractable roof (closed),fieldturf,3,4,N/A,N/A,N/A,N/A
3431,LP Field,outdoors,grass,1,1,39,50,4,N/A
3432,Heinz Field,outdoors,grass,2,3,28,78,12,18
3433,Paul Brown Stadium,outdoors,fieldturf,4,5,26,72,8,18
3434,Ford Field,dome,fieldturf,5,6,N/A,N/A,N/A,N/A
3435,Mercedes-Benz Superdome,dome,sportturf,4,5,N/A,N/A,N/A,N/A
3436,MetLife Stadium,outdoors,fieldturf,0,1,32,50,13,22
3437,Qualcomm Stadium,outdoors,grass,1,1,50,80,3,N/A
3438,Sports Authority Field at Mile High,outdoors,grass,2,3,35,41,10,27
3439,Mall of America Field,dome,sportturf,5,5,N/A,N/A,N/A,N/A
3440,Gillette Stadium,outdoors,fieldturf,0,1,28,45,15,16
3441,Candlestick Park,outdoors,grass,4,6,50,70,5,N/A
3442,CenturyLink Field,outdoors,fieldturf,4,5,41,77,1,0
3443,FedExField,outdoors,grass,1,2,37,53,9,30
3444,Reliant Stadium,retractable roof (closed),grass,6,6,N/A,N/A,N/A,N/A
3445,Lambeau Field,outdoors,grass,2,2,29,78,9,21
3446,M&T Bank Stadium,outdoors,sportturf,4,5,49,36,8,N/A
3447,FedExField,outdoors,grass,3,3,52,44,3,0
3448,Sports Authority Field at Mile High,outdoors,grass,1,2,13,62,8,2
3449,Candlestick Park,outdoors,grass,2,2,48,50,5,0
3450,Georgia Dome,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
3451,Gillette Stadium,outdoors,fieldturf,4,4,51,87,10,0
3452,Georgia Dome,dome,fieldturf,1,2,N/A,N/A,N/A,N/A
3453,Gillette Stadium,outdoors,fieldturf,2,2,41,34,18,N/A
3454,Mercedes-Benz Superdome,dome,astroturf,5,5,N/A,N/A,N/A,N/A
3455,Sports Authority Field at Mile High,outdoors,grass,2,2,83,30,7,0
3456,Ralph Wilson Stadium,outdoors,a_turf,3,3,65,55,11,0
3457,Soldier Field,outdoors,grass,1,1,73,79,11,0
3458,FirstEnergy Stadium,outdoors,grass,4,4,70,80,13,0
3459,Lucas Oil Stadium,retractable roof (closed),fieldturf,1,2,N/A,N/A,N/A,N/A
3460,Ford Field,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
3461,Heinz Field,outdoors,grass,3,3,73,76,9,N/A
3462,EverBank Field,outdoors,grass,0,0,85,55,10,0
3463,Mercedes-Benz Superdome,dome,sportturf,4,4,N/A,N/A,N/A,N/A
3464,MetLife Stadium,outdoors,fieldturf,4,4,82,50,9,0
3465,Bank of America Stadium,outdoors,grass,2,2,87,48,7,0
3466,Edward Jones Dome,dome,astroplay,5,6,N/A,N/A,N/A,N/A
3467,Candlestick Park,outdoors,grass,2,3,69,67,6,0
3468,AT&T Stadium,retractable roof (closed),matrixturf,4,4,N/A,N/A,N/A,N/A
3469,FedExField,outdoors,grass,1,2,80,52,9,0
3470,Qualcomm Stadium,outdoors,grass,1,2,70,73,10,0
3471,Gillette Stadium,outdoors,fieldturf,3,4,72,89,8,0
3472,Ralph Wilson Stadium,outdoors,a_turf,6,7,65,59,10,0
3473,Lucas Oil Stadium,retractable roof (open),fieldturf,3,4,N/A,N/A,N/A,N/A
3474,Lambeau Field,outdoors,grass,1,2,56,100,4,0
3475,Arrowhead Stadium,outdoors,grass,4,5,72,69,6,0
3476,Lincoln Financial Field,outdoors,grass,7,8,71,40,6,0
3477,M&T Bank Stadium,outdoors,sportturf,2,4,75,37,6,0
3478,Georgia Dome,dome,fieldturf,2,2,N/A,N/A,N/A,N/A
3479,Soldier Field,outdoors,grass,4,4,60,76,6,0
3480,Reliant Stadium,retractable roof (closed),grass,1,5,N/A,N/A,N/A,N/A
3481,University of Phoenix Stadium,retractable roof (closed),grass,4,6,N/A,N/A,N/A,N/A
3482,Raymond James Stadium,outdoors,grass,3,5,93,47,8,N/A
3483,MetLife Stadium,outdoors,fieldturf,5,5,70,33,3,0
3484,O.co Coliseum,outdoors,grass,5,6,76,52,10,0
3485,CenturyLink Field,outdoors,fieldturf,3,3,64,81,6,0
3486,Paul Brown Stadium,outdoors,fieldturf,3,3,62,75,5,0
3487,Lincoln Financial Field,outdoors,grass,5,7,73,43,4,0
3488,AT&T Stadium,retractable roof (closed),matrixturf,1,2,N/A,N/A,N/A,N/A
3489,Gillette Stadium,outdoors,fieldturf,4,5,65,72,9,0
3490,Bank of America Stadium,outdoors,grass,1,2,75,52,15,0
3491,Paul Brown Stadium,outdoors,fieldturf,3,4,63,52,13,0
3492,Mercedes-Benz Superdome,dome,sportturf,1,1,N/A,N/A,N/A,N/A
3493,LP Field,outdoors,grass,3,5,72,46,7,0
3494,M&T Bank Stadium,outdoors,sportturf,6,6,73,44,9,0
3495,FedExField,outdoors,grass,4,4,72,51,8,0
3496,Mall of America Field,dome,sportturf,3,3,N/A,N/A,N/A,N/A
3497,Sun Life Stadium,outdoors,grass,5,6,89,58,8,0
3498,MetLife Stadium,outdoors,fieldturf,6,6,67,46,24,0
3499,Candlestick Park,outdoors,grass,2,3,66,63,5,0
3500,CenturyLink Field,outdoors,fieldturf,2,2,61,87,17,0
3501,Heinz Field,outdoors,grass,5,5,56,72,5,N/A
3502,Sports Authority Field at Mile High,outdoors,grass,3,3,64,28,16,0
3503,Edward Jones Dome,dome,astroplay,1,3,N/A,N/A,N/A,N/A
3504,Ralph Wilson Stadium,outdoors,a_turf,5,5,67,57,15,0
3505,Arrowhead Stadium,outdoors,grass,1,2,66,65,0,0
3506,Ford Field,dome,fieldturf,7,7,N/A,N/A,N/A,N/A
3507,Reliant Stadium,retractable roof (closed),grass,5,5,N/A,N/A,N/A,N/A
3508,Raymond James Stadium,outdoors,grass,3,3,84,55,5,N/A
3509,FirstEnergy Stadium,outdoors,grass,3,5,68,67,9,0
3510,EverBank Field,outdoors,grass,4,4,80,65,12,0
3511,Wembley Stadium,outdoors,grass,4,5,54,86,11,0
3512,LP Field,outdoors,grass,3,3,74,51,4,0
3513,Sports Authority Field at Mile High,outdoors,grass,3,4,76,16,8,0
3514,O.co Coliseum,outdoors,grass,1,2,77,52,13,0
3515,Qualcomm Stadium,outdoors,grass,3,4,80,27,7,0
3516,Georgia Dome,dome,fieldturf,6,6,N/A,N/A,N/A,N/A
3517,Mercedes-Benz Superdome,dome,sportturf,2,3,N/A,N/A,N/A,N/A
3518,FirstEnergy Stadium,outdoors,grass,4,4,75,73,6,0
3519,Edward Jones Dome,dome,astroplay,4,4,N/A,N/A,N/A,N/A
3520,Soldier Field,outdoors,grass,5,5,60,49,10,0
3521,Paul Brown Stadium,outdoors,fieldturf,4,4,68,93,7,0
3522,Lambeau Field,outdoors,grass,6,6,59,59,10,0
3523,Sun Life Stadium,outdoors,grass,7,8,87,56,5,0
3524,MetLife Stadium,outdoors,fieldturf,5,5,66,100,6,0
3525,Lucas Oil Stadium,retractable roof (closed),fieldturf,6,7,N/A,N/A,N/A,N/A
3526,LP Field,outdoors,grass,5,6,74,83,10,0
3527,University of Phoenix Stadium,retractable roof (closed),grass,4,4,N/A,N/A,N/A,N/A
3528,AT&T Stadium,retractable roof (closed),matrixturf,5,5,N/A,N/A,N/A,N/A
3529,Candlestick Park,outdoors,grass,3,4,76,40,9,0
3530,O.co Coliseum,outdoors,grass,3,4,70,0,2,0
3531,Georgia Dome,dome,fieldturf,3,3,N/A,N/A,N/A,N/A
3532,Soldier Field,outdoors,grass,2,2,63,74,10,0
3533,Ralph Wilson Stadium,outdoors,a_turf,3,4,65,70,11,0
3534,FirstEnergy Stadium,outdoors,grass,2,2,66,78,8,0
3535,Arrowhead Stadium,outdoors,grass,1,2,63,41,7,0
3536,M&T Bank Stadium,outdoors,sportturf,5,6,61,83,10,0
3537,Reliant Stadium,retractable roof (closed),grass,3,3,N/A,N/A,N/A,N/A
3538,MetLife Stadium,outdoors,fieldturf,6,6,62,68,10,0
3539,Raymond James Stadium,outdoors,grass,3,3,82,42,3,N/A
3540,Mall of America Field,dome,sportturf,1,1,N/A,N/A,N/A,N/A
3541,Sports Authority Field at Mile High,outdoors,grass,2,2,59,53,7,0
3542,CenturyLink Field,outdoors,fieldturf,4,4,51,80,4,0
3543,Gillette Stadium,outdoors,fieldturf,5,5,59,57,7,0
3544,Candlestick Park,outdoors,grass,3,3,65,55,5,0
3545,AT&T Stadium,retractable roof (closed),matrixturf,4,5,N/A,N/A,N/A,N/A
3546,Qualcomm Stadium,outdoors,grass,7,7,69,69,13,0
3547,University of Phoenix Stadium,retractable roof (closed),grass,5,5,N/A,N/A,N/A,N/A
3548,Georgia Dome,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3549,Ford Field,dome,fieldturf,3,5,N/A,N/A,N/A,N/A
3550,EverBank Field,outdoors,grass,3,3,73,0,12,0
3551,Sun Life Stadium,outdoors,grass,3,4,87,57,5,0
3552,Lincoln Financial Field,outdoors,grass,2,3,60,39,13,0
3553,Bank of America Stadium,outdoors,grass,5,5,68,42,4,0
3554,MetLife Stadium,outdoors,fieldturf,5,5,63,36,11,0
3555,FedExField,outdoors,grass,3,4,61,39,13,0
3556,LP Field,outdoors,grass,2,2,68,32,3,N/A
3557,Lambeau Field,outdoors,grass,3,4,46,65,8,N/A
3558,Heinz Field,outdoors,grass,7,7,57,49,14,N/A
3559,Arrowhead Stadium,outdoors,grass,4,4,70,36,15,0
3560,Lucas Oil Stadium,retractable roof (open),fieldturf,5,5,N/A,N/A,N/A,N/A
3561,MetLife Stadium,outdoors,fieldturf,3,4,57,63,4,0
3562,Raymond James Stadium,outdoors,grass,3,3,70,53,5,N/A
3563,Arrowhead Stadium,outdoors,grass,4,5,52,46,4,0
3564,Mercedes-Benz Superdome,dome,sportturf,1,4,N/A,N/A,N/A,N/A
3565,Gillette Stadium,outdoors,fieldturf,3,5,53,45,13,0
3566,Lincoln Financial Field,outdoors,grass,5,5,56,40,13,0
3567,Ford Field,dome,fieldturf,4,4,N/A,N/A,N/A,N/A
3568,Wembley Stadium,outdoors,grass,1,1,60,63,13,0
3569,O.co Coliseum,outdoors,grass,1,3,56,81,17,0
3570,Paul Brown Stadium,outdoors,fieldturf,3,3,57,45,3,0
3571,University of Phoenix Stadium,retractable roof (closed),grass,4,4,N/A,N/A,N/A,N/A
3572,Sports Authority Field at Mile High,outdoors,grass,1,1,69,14,8,0
3573,Mall of America Field,dome,sportturf,4,4,N/A,N/A,N/A,N/A
3574,Edward Jones Dome,dome,astroplay,3,4,N/A,N/A,N/A,N/A
3575,Sun Life Stadium,outdoors,grass,4,5,79,76,8,0
3576,Edward Jones Dome,dome,astroplay,0,1,N/A,N/A,N/A,N/A
3577,Ralph Wilson Stadium,outdoors,a_turf,5,5,36,58,7,30
3578,Bank of America Stadium,outdoors,grass,3,3,62,41,12,0
3579,AT&T Stadium,retractable roof (closed),matrixturf,3,3,N/A,N/A,N/A,N/A
3580,FedExField,outdoors,grass,2,4,57,41,20,0
3581,MetLife Stadium,outdoors,fieldturf,6,7,48,53,14,N/A
